2026-05-22 17:41:40,048 - WARNING - Bad row in team_b.csv: {'date': '2026-01-04', 'amount': '300', 'vendor': 'Ola', 'category': ''}
2026-05-22 17:41:40,048 - WARNING - Bad row in team_b.csv: {'date': '2026-01-05', 'amount': '450', 'vendor': 'Zomato', 'category': ''}
2026-05-22 17:41:40,048 - WARNING - Bad row in team_b.csv: {'date': '2026-01-06', 'amount': '900', 'vendor': 'GCP', 'category': 'Infrastructure'}
2026-05-22 17:41:40,048 - WARNING - Bad row in team_a.csv: {'date': '2026-01-01', 'amount': '500', 'vendor': 'Uber', 'category': ''}
2026-05-22 17:41:40,048 - WARNING - Bad row in team_a.csv: {'date': '2026-01-02', 'amount': '700', 'vendor': 'Swiggy', 'category': 'Meals'}
2026-05-22 17:41:40,048 - WARNING - Bad row in team_a.csv: {'date': '2026-01-03', 'amount': '1200', 'vendor': 'AWS', 'category': ''}
2026-05-22 17:41:40,049 - WARNING - Bad row in team_c.csv: {'date': '2026-01-07', 'amount': '1000', 'vendor': 'Amazon', 'category': ''}
2026-05-22 17:41:40,049 - WARNING - Bad row in team_c.csv: {'date': '2026-01-08', 'amount': '1500', 'vendor': 'Uber', 'category': 'Travel'}
2026-05-22 17:41:40,049 - WARNING - Bad row in team_c.csv: {'date': '2026-01-09', 'amount': '800', 'vendor': 'Swiggy', 'category': ''}
2026-05-22 17:43:04,016 - WARNING - Bad row in team_b.csv: {'date': '2026-01-04', 'amount': '300', 'vendor': 'Ola', 'category': ''}
2026-05-22 17:43:04,016 - WARNING - Bad row in team_b.csv: {'date': '2026-01-05', 'amount': '450', 'vendor': 'Zomato', 'category': ''}
2026-05-22 17:43:04,016 - WARNING - Bad row in team_b.csv: {'date': '2026-01-06', 'amount': '900', 'vendor': 'GCP', 'category': 'Infrastructure'}
2026-05-22 17:43:04,016 - WARNING - Bad row in team_a.csv: {'date': '2026-01-01', 'amount': '500', 'vendor': 'Uber', 'category': ''}
2026-05-22 17:43:04,016 - WARNING - Bad row in team_a.csv: {'date': '2026-01-02', 'amount': '700', 'vendor': 'Swiggy', 'category': 'Meals'}
2026-05-22 17:43:04,016 - WARNING - Bad row in team_a.csv: {'date': '2026-01-03', 'amount': '1200', 'vendor': 'AWS', 'category': ''}
2026-05-22 17:43:04,017 - WARNING - Bad row in team_c.csv: {'date': '2026-01-07', 'amount': '1000', 'vendor': 'Amazon', 'category': ''}
2026-05-22 17:43:04,017 - WARNING - Bad row in team_c.csv: {'date': '2026-01-08', 'amount': '1500', 'vendor': 'Uber', 'category': 'Travel'}
